Wall time,Step,Value
1748300107.5033994,8,74.41394805908203
1748300168.412472,24,59.65306091308594
1748300198.7282534,32,65.12564849853516
1748300229.0933383,40,10.278432846069336
1748300320.197336,64,5.720213890075684
1748300380.985551,80,48.514156341552734
1748300411.3685822,88,-37.777339935302734
1748300442.3871033,96,14.627462387084961
1748300533.8029826,120,33.79347229003906
1748300564.073356,128,66.66679382324219
1748300594.38269,136,13.291851997375488
1748300624.6877098,144,18.886829376220703
1748300654.8584878,152,35.86040496826172
1748300685.370519,160,4.9674482345581055
1748300715.4603636,168,88.60552215576172
1748300775.6092832,184,71.8127212524414
1748300806.2824507,192,57.86769485473633
1748300866.5186172,208,41.92826461791992
1748300896.688909,216,58.247615814208984
1748300927.909402,224,50.81175231933594
1748300958.259471,232,79.91011047363281
1748300988.2515173,240,-5.5444440841674805
1748301018.5420558,248,30.226808547973633
1748301048.8129082,256,48.6800537109375
1748301078.969326,264,111.66564178466797
1748301109.057,272,71.36705780029297
1748301139.2818496,280,62.24877166748047
1748301199.4949281,296,17.52587890625
1748301229.7808647,304,43.70450210571289
1748301259.8697886,312,37.66209030151367
1748301290.793251,320,37.28099822998047
1748301320.9188838,328,17.78011131286621
1748301381.9818413,344,83.79064178466797
1748301411.8825285,352,103.37799072265625
1748301502.7224956,376,94.22569274902344
1748301533.7838337,384,80.59706115722656
1748301563.8018494,392,82.5781478881836
1748301594.0469363,400,105.97515106201172
1748301624.6981442,408,54.054927825927734
1748301655.7776678,416,88.81705474853516
1748301686.4991033,424,66.85840606689453
1748301716.8812172,432,47.27185821533203
1748301747.1503572,440,59.779903411865234
1748301777.889313,448,91.095947265625
1748301836.5913022,464,64.23568725585938
1748301866.1024787,472,52.19619369506836
1748301925.240591,488,10.492623329162598
1748301954.6536303,496,18.576356887817383
1748301984.2368937,504,23.55215072631836
1748302014.3645675,512,50.91960525512695
1748302074.131355,528,-14.5542573928833
1748302104.1260908,536,74.29554748535156
1748302133.609203,544,93.3769760131836
1748302163.0692205,552,105.575439453125
1748302222.6342618,568,36.35126495361328
1748302252.8033602,576,14.898988723754883
1748302283.1513603,584,106.33743286132812
1748302313.2752254,592,65.14997100830078
1748302372.2680569,608,24.99110221862793
1748302431.8815432,624,68.64624786376953
1748302461.28389,632,74.73333740234375
1748302492.1509845,640,-4.860060214996338
1748302521.4175575,648,73.62677001953125
1748302551.4663644,656,-5.995436191558838
1748302581.488226,664,66.27703094482422
1748302610.708762,672,2.0192630290985107
1748302639.9721231,680,1.6501580476760864
1748302670.7301917,688,56.49160385131836
1748302700.1994355,696,110.84380340576172
1748302730.3262749,704,83.17289733886719
1748302759.861673,712,61.6844482421875
1748302790.0626934,720,37.16443634033203
1748302819.5005858,728,97.63713073730469
1748302878.943268,744,-17.744407653808594
