step,angular_command
0,0.14656262397766112
1,0.26588952898979185
2,0.4349799896478653
3,0.48171327527761454
4,0.5222241502153873
5,0.5184015308622121
6,0.471125568187487
7,0.42866692509787907
8,0.32455127409673074
9,0.2653244990120673
10,0.19007544514236255
11,-0.020858242534715132
12,-0.23397392441449832
13,-0.3997362284534453
14,-0.5562263687522506
15,-0.634204551781208
16,-0.6281368450755809
17,-0.6538346689447218
18,-0.6688603060496963
19,-0.6348356473383487
20,-0.6348577347950166
21,-0.5951066936343131
22,-0.6419107484521918
23,-0.6689561543257749
24,-0.6822522060249449
25,-0.6950502478402794
26,-0.6821759639506895
27,-0.6049893467453868
28,-0.41291058889820437
29,-0.26729924363152163
30,-0.07775800841628695
31,0.12833556341821523
32,0.33884386584546367
33,0.5016644542989168
34,0.6511651180092417
35,0.7558155826064692
36,0.7742028176717879
37,0.8225975948525512
38,0.8758183163967859
39,0.7947241395510228
40,0.7342601647831891
41,0.5885022145112878
42,0.45194030931794327
43,0.3544334833010293
44,0.19602485000381664
45,-0.07931578308837756
46,-0.2609867166017294
47,-0.3927874721461892
48,-0.4967625488998544
49,-0.5661093895746704
50,-0.5556911084631487
51,-0.5699444788203223
52,-0.5765534484638679
53,-0.5107663225112096
54,-0.47497014360471707
55,-0.5365787377932757
56,-0.6328804236337903
57,-0.6665041743894173
58,-0.7195655196334747
59,-0.7277301969724972
60,-0.6953400250095779
61,-0.5794044050646879
62,-0.38264005771787374
63,-0.22108142399845504
64,-0.07681806461851386
65,0.03123478388996511
66,0.2764925838246754
67,0.45597224598272323
68,0.6191805721879062
69,0.7334264005315343
70,0.813398480372074
71,0.8006387114221949
72,0.8319233965661693
73,0.7571547009796498
74,0.7295166656151829
75,0.6299635870598547
76,0.4452970561722869
77,0.41773452621082147
78,0.34677080147431066
79,-0.02297967987183691
80,-0.2076609991177596
81,-0.37586451803935306
82,-0.43867258692487987
83,-0.36821863179697034
84,-0.5195234098802547
85,-0.4913322046537576
86,-0.5722549598015909
87,-0.6627704112150565
88,-0.7350540425273584
89,-0.47678650678445544
90,-0.6273447958913918
91,-0.7391413571239742
92,-0.7711555923283957
93,-0.8048829233331087
94,-0.7204589522856296
95,-0.6898731781924242
96,-0.5637355075000854
97,-0.4931427367531649
98,-0.418660551270085
99,-0.3423539802155556
100,-0.18661463988872
101,-0.002841012807052734
102,0.21024816037023764
103,0.3419274783190418
104,0.5393492348233292
105,0.6775444643763304
106,0.734795056576264
107,0.8143565396033847
108,0.6706775662992583
109,0.7694742964094807
110,0.7368454476664612
111,0.7198251106668615
112,0.803877577466803
113,0.862714304226762
114,0.7931669807321708
115,0.7669834573190228
116,0.8185253198330175
117,0.844647870338877
118,0.853224166347428
119,0.8483101424373096
120,0.8606666234888468
121,0.8499424572219931
122,0.7337264230650005
123,0.5217198225419656
124,0.3980442349903439
125,0.18389586958834112
126,-0.041820758109450296
127,-0.0434986214763045
128,-0.0443013213722193
129,-0.03512764417666183
130,-0.06902428279793849
131,-0.02579903967513256
132,-0.012973745486473332
133,-0.010473588574612839
134,-0.08055979671883513
135,-0.11655174060628365
136,-0.19454048628385745
137,-0.21854896136465785
138,-0.24479152214368366
139,-0.24859797474034753
140,-0.24783191493552614
141,-0.010021728157810189
142,0.224821490728986
143,0.44903863060364346
144,0.6143270414225503
145,0.7300289289957852
146,0.7536947917704382
147,0.8148739530876495
148,0.8230865136747214
149,0.876160559572305
150,0.9133123917006134
151,0.9102166884974514
152,0.8950268741135907
153,0.8631802698949553
154,0.8879698386476144
155,0.8624869971950841
156,0.7588635953899219
157,0.6091373156354025
158,0.42596084654775873
159,0.3108026834459437
160,0.14704418048182458
161,0.010210653200184605
162,-0.1006784806270354
163,-0.1625377554429836
164,-0.10103769730660188
165,-0.018361344355275304
166,-0.044964754176687244
167,0.00044525934777088494
168,-0.07652231463328005
169,-0.09355496054862439
170,-0.16892034391743094
171,-0.22790508673715099
172,-0.3138029758561577
173,-0.37527385444444894
174,-0.3289690381656263
175,-0.2787051276822012
176,-0.20573273125006603
177,-0.14969344164828152
178,0.022236437021396716
179,0.26001967518835417
180,0.4266516374599576
181,0.5205351278122413
182,0.6195940549627248
183,0.6410761657177122
184,0.7429729588799772
185,0.7381509941400257
186,0.8167056958980179
187,0.7838896577333183
188,0.8487227604133227
189,0.7390693159639474
190,0.796005737008427
191,0.595169008131069
192,0.4098642642286116
193,0.292880138629743
194,0.2749395113307714
195,0.33352785992452855
196,0.11833947083831378
197,0.0687609898749628
198,0.013056041935339262
199,-0.16852156967175178
200,-0.1286059337871921
201,-0.0003553492439147127
202,0.07605303885254766
203,-0.0868233482718522
204,-0.2286271958029308
205,0.006433821128484951
206,-0.13218715937467998
207,-0.23827830658428678
208,-0.09569733931870227
209,-0.11971285657063797
210,-0.11767531510375909
211,-0.1111246958705592
212,0.22221271289060857
213,0.14416127666701117
214,0.17605779553858902
215,0.15374708637382511
216,0.093375750137867
217,0.02553437593326075
218,0.21408155073644292
219,0.11168048935080666
220,0.09597647957366276
221,0.04646677688412961
222,0.218105388094556
223,0.2970438328253231
224,0.48463319428830354
225,0.44414003175147676
226,0.3248257892792802
227,0.3465991586671041
228,0.10593963654419147
229,-0.07294680084679273
230,-0.06030348920946938
231,-0.27000607042399977
232,-0.4890042492967998
233,-0.37009688262696155
234,-0.39117167225667393
235,-0.4200459985120295
236,-0.47075833755018703
237,-0.5655335437665152
238,-0.6500717755145666
239,-0.7325477609227882
240,-0.6742131478025069
241,-0.7058089511099939
242,-0.582651547149066
243,-0.4556690112637189
244,-0.27284842124786923
245,-0.017129369316944143
246,-0.21791204156171684
247,-0.14882034201606098
248,-0.10502538479793855
249,-0.20296228506366562
250,-0.1677700716231277
251,-0.04315154319820873
252,0.15847573681600244
253,0.3308027367070232
254,0.41441282492800946
255,0.5484180887872683
256,0.6469406553342237
257,0.7528584587339566
258,0.8205336144998474
259,0.8422817218308013
260,0.8139773467782192
261,0.7731364271762109
262,0.7848194351996477
263,0.8097500103556958
