step,x,y
0,0.0,0.0
1,4.113476472231297e-16,6.495096988837288e-41
2,2.9999999961525863e-06,1.754840678702654e-15
3,0.01545299996935833,8.390051304011899e-07
4,0.07359299984758802,3.668611540686801e-06
5,0.13635299976117132,5.980734228520911e-07
6,0.2548329756568428,-6.371047008180813e-05
7,0.33483279051550335,-0.00023057945913707403
8,0.4348314259525343,-0.0007374993187505837
9,0.5348257214999887,-0.0017892158343243317
10,0.6348096852673311,-0.003565061634980599
11,0.7347740719664053,-0.006219260898922317
12,0.8347049200145682,-0.009922952143621055
13,0.9345837809918278,-0.014830171157301666
14,1.0343938332148275,-0.020981179350463054
15,1.1341337589376816,-0.02818391155386879
16,1.2338189741728767,-0.036110607103543725
17,1.3334732942143936,-0.04441797644906676
18,1.4331220826559383,-0.052791643418330536
19,1.5327889000064803,-0.06094732048160532
20,1.6324933979886067,-0.06862737021386273
21,1.732249513789112,-0.07560329955744226
22,1.8320618824648993,-0.08172066745045584
23,1.9319272698021914,-0.0869001777426201
24,2.0118520490255847,-0.09036442620397747
25,2.151768100320626,-0.09519682217336208
26,2.231734646472185,-0.09750943153163984
27,2.3316970250603393,-0.10025217832550834
28,2.4316562757575033,-0.10310575380272974
29,2.5316039009970686,-0.10633852980616187
30,2.6315293355370777,-0.11019368104909444
31,2.731418544760234,-0.11489166297807223
32,2.831253091522983,-0.120632328687601
33,2.9310095620717247,-0.12759674804062007
34,3.0306592664063516,-0.13594878054449208
35,3.150049652394867,-0.148010235005332
36,3.2294968449168806,-0.15739311441966916
37,3.3483904681748835,-0.1736319735122881
38,3.4471593814175487,-0.1892643795255354
39,3.5259330922128465,-0.2032126929763814
40,3.6240493672662617,-0.22252097128440632
41,3.7217179234261533,-0.2439787610386921
42,3.818873552706552,-0.2676502554055559
43,3.915448056384052,-0.29359048122606995
44,4.011370637127223,-0.32184582535827766
45,4.10656828058255,-0.35245452113606707
46,4.200966122730715,-0.38544709963158535
47,4.294488587020386,-0.42084478683672016
48,4.387083710908126,-0.4586023328373457
49,4.478759029836983,-0.4985424428175506
50,4.5695579230634555,-0.5404377591567804
51,4.659547523438437,-0.5840452846420822
52,4.748840584990532,-0.6290629204617832
53,4.837573764738844,-0.67517502383339
54,4.925861330021242,-0.7221350809786404
55,5.013816863239497,-0.7697144633254376
56,5.101569208430764,-0.8176677582660971
