Wall time,Step,Value
1748644474.3654046,8,-159.33815002441406
1748644538.2211592,16,202.49563598632812
1748644601.8985124,24,-74.51031494140625
1748644667.3968835,32,-40.14012145996094
1748644733.1381378,40,-119.43177032470703
1748644797.919744,48,-9.763429641723633
1748644862.996305,56,-13.802505493164062
1748644927.6701214,64,32.12065887451172
1748644992.1681406,72,-55.46183776855469
1748645057.123606,80,-124.21526336669922
1748645121.441753,88,-76.64431762695312
1748645185.5835438,96,157.60238647460938
1748645252.4684613,104,-13.268964767456055
1748645317.149748,112,-97.35364532470703
1748645382.0662076,120,-88.19461822509766
1748645446.7134244,128,-30.98061752319336
1748645511.3576615,136,-17.552703857421875
1748645575.8783302,144,224.35531616210938
1748645640.2452638,152,23.257198333740234
1748645704.068151,160,229.271484375
1748645768.0924084,168,203.40806579589844
1748645832.1050012,176,-3.6252059936523438
1748645895.8444693,184,207.69248962402344
1748645959.531175,192,224.4439697265625
1748646023.328422,200,186.21029663085938
1748646087.1556473,208,214.54661560058594
1748646151.0176418,216,233.9603729248047
1748646215.3588192,224,172.38897705078125
1748646279.1970909,232,-160.05055236816406
1748646343.1405418,240,191.49130249023438
1748646407.4647775,248,173.37461853027344
1748646471.2965732,256,221.0749053955078
1748646535.8313339,264,226.32432556152344
1748646599.8394508,272,234.0806884765625
1748646664.320443,280,228.1600799560547
1748646727.9468265,288,202.6497802734375
1748646792.5249949,296,234.02224731445312
1748646856.5603485,304,232.64500427246094
1748646920.5516145,312,233.6625518798828
1748646984.5465167,320,211.59808349609375
1748647049.0528774,328,218.93978881835938
1748647113.2539494,336,230.34588623046875
1748647177.7700574,344,212.10191345214844
1748647241.9821749,352,221.68502807617188
1748647305.7486663,360,224.07533264160156
1748647371.7072613,368,228.4311065673828
1748647436.529495,376,230.93777465820312
1748647500.2802007,384,236.3955078125
1748647563.9924228,392,219.073486328125
1748647627.633351,400,220.29803466796875
1748647692.9626646,408,230.9301300048828
1748647757.4350526,416,230.6767578125
1748647821.3176162,424,230.34552001953125
1748647886.508475,432,199.52735900878906
1748647951.2728684,440,221.4820098876953
1748648015.0851476,448,226.02664184570312
1748648078.563264,456,229.0991668701172
1748648142.4326832,464,228.81373596191406
1748648206.342891,472,234.095947265625
1748648270.2254622,480,232.68466186523438
1748648334.2212691,488,222.85134887695312
1748648399.6938567,496,229.21385192871094
1748648465.4826756,504,227.93499755859375
1748648529.7109199,512,218.22804260253906
1748648593.5479062,520,223.0224609375
1748648657.8497856,528,222.5069122314453
1748648721.9429219,536,232.07632446289062
1748648785.5074193,544,234.1464080810547
1748648849.3596087,552,234.54148864746094
1748648914.047209,560,228.84713745117188
1748648977.8243666,568,225.95668029785156
1748649041.4864595,576,3.3386685848236084
1748649104.7921019,584,214.2447052001953
1748649169.972894,592,228.05799865722656
1748649233.7646956,600,228.1242218017578
1748649298.432958,608,222.05775451660156
1748649362.0179312,616,209.56246948242188
1748649425.9791927,624,232.12815856933594
1748649490.8490689,632,225.3070068359375
1748649554.851639,640,221.2610321044922
1748649619.5690463,648,237.05758666992188
1748649684.1633613,656,227.0027313232422
1748649748.0874987,664,237.00640869140625
1748649812.034554,672,232.54408264160156
1748649876.9900055,680,220.73782348632812
1748649943.0980163,688,218.63722229003906
1748650008.2394335,696,223.06442260742188
1748650072.446834,704,237.10171508789062
1748650136.8216383,712,231.12179565429688
1748650201.4257157,720,235.48440551757812
1748650266.5356908,728,235.06744384765625
1748650330.450201,736,219.0742645263672
1748650394.3923123,744,234.83230590820312
1748650458.4307194,752,226.1414337158203
1748650522.1651628,760,227.00909423828125
1748650586.102046,768,213.000732421875
1748650650.201909,776,239.74183654785156
1748650715.5106947,784,221.8557891845703
1748650779.4154925,792,230.57070922851562
1748650843.3630333,800,230.7877655029297
1748650908.067098,808,224.38186645507812
1748650973.7114902,816,239.839599609375
1748651037.435957,824,229.70579528808594
1748651101.3461611,832,231.64569091796875
1748651165.19855,840,232.35079956054688
1748651228.8953853,848,219.50042724609375
1748651292.9333878,856,230.482177734375
1748651357.4843981,864,223.73825073242188
1748651421.3204684,872,221.0242462158203
1748651486.8385377,880,222.567626953125
1748651552.5359316,888,232.8875274658203
1748651616.8453526,896,230.83111572265625
1748651682.2483873,904,236.03616333007812
1748651746.1258922,912,230.63272094726562
1748651810.719678,920,238.99266052246094
1748651877.0769324,928,237.2479248046875
1748651942.2013545,936,212.33975219726562
1748652007.4564915,944,218.76617431640625
1748652071.4794185,952,235.435546875
1748652136.289586,960,233.16050720214844
1748652200.958843,968,228.4266357421875
1748652264.9982831,976,233.85882568359375
1748652331.2695835,984,235.67245483398438
1748652396.052428,992,233.62811279296875
1748652460.6848674,1000,207.27963256835938
1748652525.376622,1008,229.7147979736328
1748652589.1674116,1016,225.87130737304688
1748652654.116254,1024,223.15057373046875
1748652717.9152856,1032,220.53964233398438
1748652782.181909,1040,231.8092498779297
1748652846.8208764,1048,233.40545654296875
1748652910.4350524,1056,234.15350341796875
1748652975.8085394,1064,236.67445373535156
1748653042.0513797,1072,234.0824737548828
1748653105.8989954,1080,231.6234893798828
1748653173.5690289,1088,236.64511108398438
1748653237.9027834,1096,227.0117645263672
1748653303.8725133,1104,232.37789916992188
