step,angular_command
0,0.0037600502371788022
1,0.02927913352847099
2,-0.040704971954226496
3,0.021675276772677898
4,-0.09638439356133341
5,-0.14605475085170566
6,-0.34014007282290903
7,-0.2613000150265677
8,-0.22041377008156657
9,-0.2440595269812909
10,-0.30554630045390496
11,-0.24103681051738518
12,0.06090692616695939
13,0.20656609888907618
14,0.28623848805055463
15,0.5003669416353882
16,0.5587247777791864
17,0.6445944068996541
18,0.4644580043323738
19,0.27845486898000354
20,0.18936513144913036
21,0.15656429971655111
22,0.03458002519388925
23,-0.17658674202118366
24,-0.3216953599177582
25,-0.5251867519424307
26,-0.6676307263597014
27,-0.5590718229449703
28,-0.5160514302935043
29,-0.661236001205453
30,-0.5320133717918456
31,-0.3857627378349346
32,-0.48847725654754925
33,-0.6419340795832844
34,-0.749353855708299
35,-0.8245476989958094
36,-0.8771833892970664
37,-0.9140283725079463
38,-0.8703579965225454
39,-0.8985013230735179
40,-0.9170071209337196
41,-0.8534016179448481
42,-0.7381144669835051
43,-0.6036614740917082
44,-0.4804046457529363
45,-0.2919494617843834
46,-0.12641601723481666
47,-0.0026764201465707543
48,-0.004534143186154273
49,0.08087390603266198
50,0.21669480164000815
51,0.19726240755522842
52,0.1250413187839907
53,0.20705203711478162
54,0.23751234262825818
55,0.06417684033263962
56,0.04804991541255979
57,-0.08497343261475733
58,-0.1774697836200869
59,-0.17772156895918975
60,-0.12694700819707244
61,-0.07835604594369164
62,-0.06352691872520845
63,0.0032427691765375896
64,-0.013021279290971799
65,-0.021444858353297264
66,-0.04009469088780109
67,-0.01132637799587902
68,0.013841993326297009
69,0.05483538975322785
70,0.08622038810454984
71,0.1477563323011222
72,0.20198010394982058
73,0.17718775836634723
74,0.16773579157993854
75,0.0966781004898147
76,-0.013440828795961798
77,-0.14231697210968788
78,-0.27065368932993095
79,-0.4102545431232215
80,-0.587178180186255
81,-0.7110247261303785
82,-0.797717308291265
83,-0.8496860451518773
84,-0.8934330116623139
85,-0.9222802658517606
86,-0.9455961860962323
87,-0.9565397694134044
88,-0.85536090295477
89,-0.8241789602505594
90,-0.7800302390542825
91,-0.7716034570337373
92,-0.7217193070352799
93,-0.6328664001137523
94,-0.5157706621703858
95,-0.344721409022028
96,-0.15754660828654998
97,0.04662145172932225
98,0.1019155944065743
99,0.011475579964473383
100,-0.09345574983045639
101,-0.36541902488131944
102,-0.3230119697845154
103,-0.14584895142091522
104,0.042773353877452555
105,0.2439005349834276
106,0.36264083805994773
107,0.35692355450313895
108,0.3331810503346237
109,0.4707343407869099
110,0.4906911074995826
111,0.4740394049799324
112,0.501126005822531
113,0.3465060752648891
114,0.24510873267185154
115,0.1272845942416988
116,0.017391712471588605
117,-0.1747277044223538
118,-0.3210151437994593
119,-0.5247106006596215
120,-0.6375926529961435
121,-0.7463148570973004
122,-0.8224203999681103
123,-0.8128625682085732
124,-0.8690037977460012
125,-0.6555035468175102
126,-0.7588524827722571
127,-0.7357165521934333
128,-0.8150015865354032
129,-0.8489046251984242
130,-0.637436543837017
131,-0.6633640889866931
132,-0.764354862290685
133,-0.8166208766526433
134,-0.8116331509588675
135,-0.7632245767401615
136,-0.6483359519442788
137,-0.5466078051587552
138,-0.41015425772094993
139,-0.1891030581338901
140,0.03502817172998296
141,-0.04669240610365197
142,-0.1713817213733483
143,-0.24384307924227336
144,0.06121860698539522
145,0.2401887211101746
146,0.395024117134834
147,0.4711748574296407
148,0.5479499012116432
149,0.6143350776949215
150,0.5984102431777201
151,0.594677557616448
152,0.474971680887849
153,0.08109324806314472
154,0.10809034003185465
155,0.09786620661971036
156,0.0649786642218624
157,-0.08102588298743009
158,-0.27892177214202807
159,-0.36958315806571906
160,-0.3840725052941738
161,-0.48285212318224
162,-0.637996486227568
163,-0.6571105360792072
164,-0.6345585334166084
165,-0.689195478310678
166,-0.6125933697276765
167,-0.6671611725605943
168,-0.66422175581477
169,-0.7368544762398336
170,-0.7173101363128298
171,-0.6683757345161946
172,-0.7039033619758961
173,-0.7784733011065159
174,-0.7808833781497442
175,-0.7226099892985556
176,-0.5974667556258254
177,-0.40670055148706324
178,-0.3250097632248585
179,-0.19276375620440334
180,0.16506537065691768
181,0.08700997467886322
182,0.017511039825634546
183,0.2872769026921684
184,0.29979277573789614
185,0.456892151096819
186,0.4511182794188963
187,0.5380049747676506
188,0.40250273165261724
189,0.3996085070769904
190,0.32930142087148057
191,0.342455008444036
192,0.17129814790863934
193,-0.009605799942956364
194,-0.2454491738287828
195,-0.37005123284118924
