step,angular_command
0,-0.01926804631948471
1,-0.03678976580500602
2,-0.040913776651024816
3,-0.022589413838088507
4,0.004793389428108932
5,-0.04658137793152034
6,-0.019632815563340483
7,0.007683404315946848
8,0.024792649965094372
9,0.01958483684502521
10,-0.09583073397567138
11,-0.03574055858515884
12,0.0847005963360843
13,0.05471804902204909
14,0.1565407734679612
15,0.008703744917830089
16,0.04817107176463224
17,0.0809690122701356
18,0.06632392895006542
19,-0.010916455544547406
20,-0.08327293770537904
21,-0.2259292092315186
22,-0.30521192555370724
23,-0.3244105536075429
24,-0.1843034312955933
25,-0.18027292987532195
26,-0.1802298735636348
27,-0.1960944913566621
28,-0.12047010639492256
29,-0.1242722718460213
30,-0.07344169755577996
31,-0.12171373106896846
32,-0.17221984204155183
33,-0.17216777161311492
34,-0.1681078702100711
35,-0.1899371793788689
36,-0.13530174698883415
37,-0.08718584070124115
38,-0.05740279865923047
39,-0.05190688484771812
40,-0.07169861425662671
41,0.015717257750101438
42,-0.010974717602682824
43,-0.025622887637105483
44,0.06270442281353392
45,0.03044208709827604
46,0.030925107644022298
47,-0.0022849754967147577
48,-0.05869900996829054
49,-0.0849227981839725
50,-0.11015683054446221
51,-0.08631829666756916
52,-0.018392945561452004
53,-0.07811759676888615
54,-0.0008706737205239207
55,0.017334251895408187
56,-0.003034512443937612
57,-0.06294205007008555
58,-0.04995525959319164
59,-0.11901534356902443
60,-0.09766733354092919
61,-0.08019176814986166
62,-0.131230207143456
63,-0.1252708433079334
64,-0.06819801763746423
65,-0.06231752475338476
66,-0.024045646271766304
67,0.0052531107692293764
68,-0.015619818756991555
69,-0.06106181151967223
70,-0.05767038037489536
71,-0.12376674412764586
72,-0.040264250629685666
73,0.02824213082047339
74,0.06120203020290956
75,0.06545630551856257
76,0.030014056913426002
77,0.0272716624206894
78,0.027868381129365696
79,-0.07434375316832156
80,-0.07575816995554749
81,-0.08354431773878643
82,-0.12268365144690133
83,-0.10789396890970249
84,-0.06814129472057547
85,-0.09065967822269963
86,-0.08994656818049607
87,-0.14803870928144675
88,-0.1146067705084816
89,-0.15919803862084494
90,-0.13522278690354705
91,-0.0805144865990845
92,-0.11973579990633501
93,-0.20665709463196713
94,-0.19210004062658947
95,-0.24389389232639946
96,-0.23161409550002351
97,-0.20481277979576384
98,-0.15307500532780743
99,-0.14792475402415056
100,-0.09951650438872159
101,-0.07241491271025961
102,-0.041040839926172475
103,-0.008089230977533682
104,0.06123378468937983
105,0.15629632488261774
106,0.24902986239154914
107,0.2883010002526824
108,0.3147271488892266
109,0.3105886280885398
110,0.2628445297723752
111,0.20649949105302684
112,0.16629134167436893
113,0.08771548975947394
114,-0.02612355334947481
115,-0.025278881076703286
116,-0.27398881755134546
117,-0.3826192201108014
118,-0.43209374017031915
119,-0.47642750786302834
120,-0.3645457175631408
121,-0.4464915079952636
122,-0.442576466814374
123,-0.40429581917423657
124,-0.2710618913369283
125,-0.41757423461852805
126,-0.3874876702523712
127,-0.5010771059282162
128,-0.3605016134481903
129,-0.40940054690946076
130,-0.4199710717328017
131,-0.40927409344606963
132,-0.24318040360595145
133,-0.1374418876042937
134,-0.1747338423162383
135,-0.15681190210787233
136,-0.04315608633305075
137,0.05872082784849595
138,0.04206570215577616
139,0.06405330955275211
140,0.09835056942206441
141,0.163727156689279
142,0.18796374714310854
143,0.1718953412885976
144,0.1697160416325786
145,0.08765309348072617
146,0.12434973375058378
147,0.20039620041091583
148,0.10004950689740519
149,-0.08210453203094724
150,-0.20014485883256697
151,0.04375117006621129
152,-0.011513606827408505
153,-0.08079322803483933
154,-0.15435893575277498
155,-0.1851708349381745
156,-0.32447137631539524
157,-0.45055353977575713
158,-0.4731020116488771
159,-0.6021279661433345
160,-0.6542342044913284
161,-0.6544392761193174
162,-0.6687988380215287
163,-0.6609590706959569
164,-0.648052833518847
165,-0.5836656842917451
166,-0.3736518475416476
167,-0.3867522614302458
168,-0.3954492306681032
169,-0.3738863773326167
170,-0.28325830747942743
171,-0.07206997965954176
172,0.025304339462243496
173,0.10950447071950245
174,0.18617473308794125
175,0.14219286725110508
176,0.20148644228409418
177,0.2959574099952129
178,0.28664263641853166
179,0.33812671889079926
180,0.29985286138901435
181,0.37813598851079266
182,0.3112578934212542
183,0.07328298608919098
184,-0.05499487574575266
185,-0.08255516061161502
186,-0.10912911492866456
187,-0.027149967141921576
188,-0.18092671657759218
189,-0.269869212683149
190,-0.3094519287976379
191,-0.344521367295874
192,-0.2512997151623219
193,-0.17976424002121238
194,-0.17040355436433596
195,-0.12207732973198562
196,-0.12066632945726641
197,-0.06192384518755703
198,-0.019122615956279235
199,-0.1014686275046158
200,-0.1294648532037697
201,-0.19829011646661493
202,-0.25712329627501296
203,-0.3131066475013805
204,-0.3179878770897725
205,-0.38276168164739577
206,-0.49028803626687023
207,-0.46561540965232734
208,-0.3816751858869735
209,-0.3381961390272459
210,-0.23305864765514692
211,-0.22837817464261084
212,-0.22359843408854982
213,-0.28439953971956694
214,-0.30679034326809806
215,-0.41998217695987927
216,-0.5194688909831215
217,-0.22887026980596764
218,-0.16127010087723123
219,-0.07376498858519603
220,-0.1519619734711622
221,-0.13187540900101485
222,-0.15005974950366374
223,-0.1532505799073101
224,-0.06757854264146931
225,-0.013701503116059235
226,-0.12585579181384796
227,-0.1532529331969244
228,-0.12861241215556024
229,-0.03492041994991313
230,-0.08007666169507988
231,-0.08968494995666126
232,-0.12086157912972376
233,-0.11813638424350781
234,-0.12519319326511794
235,-0.1594256592748785
236,0.08730689852726888
237,-0.10400503358736932
238,-0.09489445623801857
239,-0.03727612213226851
240,0.11219418723232658
241,0.12619781072132763
242,0.020127978947113795
243,-0.12151515988663278
244,-0.07709340955524453
245,-0.07136403167243964
246,-0.012670165556642576
247,-0.03787418890057128
248,-0.1591496356491316
249,-0.24765241560487428
250,-0.3740812330643727
251,-0.3831911208669618
252,-0.40241333799642254
253,-0.3735280480976636
254,-0.2494165731367483
255,-0.2737693461803506
256,-0.2951887439806796
257,-0.3262785090787883
258,-0.27284569538122144
259,-0.34914055563549207
260,-0.3884491688835422
261,-0.42259589600358993
262,-0.3831889056906721
263,-0.3826355742039218
264,-0.44725314226104357
265,-0.33504260492769355
266,-0.361002299574149
267,-0.383323069782051
268,-0.3546266798771369
269,-0.3804006716825429
270,-0.5110007145854338
271,-0.38754716100263126
272,-0.3289157853263345
273,-0.28307157745126965
274,-0.21359733261778807
275,-0.20240055235902862
276,-0.24633289574460462
277,-0.25896845697575205
278,-0.22235791789938383
279,-0.2474622173628664
280,-0.19805285488218258
281,-0.0690007280136658
282,-0.0943968464511493
283,-0.04394236641173575
284,-0.130193963705813
285,0.1255969598476881
286,0.12542531949374633
287,0.07360540025895326
288,-0.00872293476834056
289,0.008129078222295541
290,-0.067017742344651
291,-0.10281493946337636
292,-0.15979405422108128
293,-0.21193526114392008
294,-0.2931540583348017
295,-0.23982366148064718
296,-0.28844018634558843
297,-0.1728543440449316
298,-0.11135437289512705
299,-0.05457706639911319
300,0.010399254433096361
301,-0.0018592103419237957
302,0.05301199338155254
303,0.1359584459356674
304,0.10335441232567487
305,0.1915773755370758
306,0.1434827369194654
307,0.1204253060339887
308,0.11685078202717494
309,0.12954831820053947
310,0.20610431920415323
311,0.2693166600033473
312,0.22791955733849423
313,0.1420557767668135
314,0.134047369844033
315,0.10099104715428707
316,0.01645421406755218
317,-0.06906274363606613
318,-0.21075945480313507
319,-0.25528542268825194
320,-0.2877139344611449
321,-0.3511590169230181
322,-0.3167516230991835
323,-0.280548432729239
324,-0.30099531162094706
325,-0.3534934133670543
326,-0.339110097017613
327,-0.29913576196502534
328,-0.21227206017185868
329,-0.1380413855903023
330,-0.007311749463763964
331,0.03411688744640252
332,0.09352451550693443
333,0.11188781252912472
334,0.13528470391023412
335,0.11746320511690554
336,0.1716395971184397
337,0.1889375458065467
338,0.261087671610977
339,0.3480899443082869
340,0.2855572911001247
